brushing_frequency,flossing_frequency,sugary_food_frequency,gum_bleeding,dental_visits,brushing_duration,consistency_score,assessment_score,risk_level
2,4,2,0,1,4.7,50.1,80.7,Low Risk
3,4,3,0,0,2.0,53.5,70.0,Medium Risk
2,0,1,0,0,1.5,71.6,44.7,High Risk
2,3,1,0,0,4.8,66.3,78.7,Medium Risk
2,5,2,0,0,3.1,86.0,76.5,Medium Risk
1,3,3,0,2,4.4,68.2,61.6,High Risk
3,4,0,0,1,1.8,69.2,91.2,Low Risk
1,3,2,0,2,1.6,46.2,46.5,High Risk
2,6,1,1,2,2.9,47.4,74.5,Medium Risk
2,5,2,0,1,1.8,45.0,67.5,Low Risk
1,1,2,0,4,4.5,70.1,67.5,High Risk
2,5,1,1,2,3.3,60.1,73.8,Medium Risk
2,0,1,1,3,2.4,59.8,48.4,High Risk
2,0,3,0,2,1.7,60.9,44.3,High Risk
3,4,3,0,1,3.4,87.9,88.6,Low Risk
1,1,3,0,1,1.2,94.2,31.3,High Risk
2,3,3,0,3,4.6,43.3,79.1,Medium Risk
3,2,0,0,0,4.0,70.0,89.5,Medium Risk
2,4,1,0,0,4.6,52.0,80.4,Medium Risk
1,2,0,1,1,4.7,76.0,54.6,High Risk
3,0,4,1,1,2.3,94.1,42.9,High Risk
1,2,2,0,3,3.1,77.4,60.2,High Risk
3,2,3,1,1,3.2,71.3,59.9,High Risk
2,4,4,0,4,1.0,79.3,67.9,Medium Risk
3,2,0,0,1,4.3,46.4,92.8,Medium Risk
2,3,3,0,4,2.1,48.0,69.8,Medium Risk
3,4,1,0,2,3.9,80.1,100.0,Low Risk
2,0,2,0,1,2.4,89.8,52.9,High Risk
2,0,2,0,0,2.5,92.4,48.9,High Risk
1,1,3,0,1,2.5,82.5,37.4,High Risk
2,3,2,0,1,4.1,63.8,74.2,Medium Risk
1,3,2,0,2,4.6,88.7,70.9,Medium Risk
3,0,5,0,3,3.1,46.3,60.5,High Risk
1,3,0,0,1,3.8,74.0,68.9,Medium Risk
3,4,3,0,1,1.2,41.7,68.5,Medium Risk
2,4,4,0,1,3.5,82.2,68.3,High Risk
2,1,6,0,4,3.8,62.8,57.2,High Risk
1,3,5,0,4,1.7,47.0,42.2,High Risk
2,5,3,0,0,3.2,85.1,72.0,Medium Risk
3,7,2,0,4,2.0,75.3,100.0,Low Risk
2,2,0,0,2,4.0,78.4,85.8,Medium Risk
2,2,2,0,1,4.9,89.8,77.9,Medium Risk
2,2,2,1,3,4.6,69.7,68.1,Medium Risk
3,6,3,0,2,4.0,42.1,100.0,Low Risk
2,5,3,0,1,2.2,80.2,70.2,Medium Risk
2,1,0,1,1,2.5,44.4,46.7,High Risk
0,1,0,0,2,4.8,81.2,56.0,High Risk
2,5,2,1,1,3.7,89.0,70.5,Medium Risk
3,0,2,0,3,1.7,61.6,69.4,Medium Risk
2,1,3,0,4,3.5,45.1,67.8,High Risk
3,2,0,0,0,3.7,86.3,90.1,Medium Risk
2,0,2,0,2,3.7,87.2,65.3,High Risk
3,0,1,0,1,3.6,62.6,76.0,Medium Risk
2,3,4,0,0,1.3,88.7,46.1,High Risk
2,0,3,0,0,2.2,76.4,39.7,High Risk
2,0,3,0,2,2.9,67.0,52.4,High Risk
1,3,1,0,2,4.7,43.2,69.7,High Risk
3,2,1,1,4,2.3,61.8,78.1,Medium Risk
2,7,3,1,3,4.9,51.4,87.1,Medium Risk
0,2,2,1,0,4.5,93.1,26.0,High Risk
1,1,3,0,0,2.2,49.5,25.6,High Risk
1,3,3,0,4,4.6,94.2,76.7,Medium Risk
2,3,1,0,1,4.0,93.0,83.0,Medium Risk
1,0,3,0,1,2.7,86.9,34.2,High Risk
2,7,1,1,2,3.1,89.9,87.1,Medium Risk
3,7,3,0,1,2.5,58.5,93.8,Low Risk
2,0,2,1,2,1.0,60.9,30.1,High Risk
3,0,2,0,1,3.5,47.5,68.1,High Risk
2,5,1,1,1,1.1,75.0,57.9,Medium Risk
3,3,2,0,3,1.7,82.7,87.6,Medium Risk
0,1,1,0,1,1.6,74.3,25.7,High Risk
2,0,3,0,4,2.1,80.6,59.7,High Risk
3,0,3,0,0,2.8,80.3,58.8,High Risk
2,2,4,0,1,2.6,75.5,51.9,High Risk
2,0,2,1,0,3.8,84.6,40.5,High Risk
3,0,2,0,2,4.9,54.6,82.6,Medium Risk
1,4,0,0,4,3.1,85.9,86.5,Medium Risk
2,6,1,0,2,1.6,69.2,85.0,Low Risk
3,0,2,0,1,2.9,69.3,67.8,High Risk
2,3,0,1,4,4.2,52.3,83.0,Medium Risk
3,2,0,0,1,1.4,51.7,76.2,Medium Risk
3,2,4,0,2,3.8,47.3,74.9,Medium Risk
1,1,3,0,2,4.4,66.5,51.4,High Risk
2,0,4,0,1,3.2,48.7,41.5,High Risk
1,2,2,0,1,3.6,85.2,54.4,High Risk
2,1,2,0,3,4.8,54.3,76.9,Medium Risk
3,4,3,0,2,3.3,83.3,92.3,Low Risk
2,0,1,0,0,4.8,48.2,61.0,High Risk
0,6,0,1,1,3.2,80.1,51.2,High Risk
1,1,3,1,2,2.8,67.1,26.9,High Risk
1,5,0,0,1,3.2,66.0,74.1,Medium Risk
2,5,4,0,0,4.1,80.5,71.7,Medium Risk
3,7,4,0,1,1.7,76.1,86.6,Low Risk
2,0,2,0,2,3.2,93.7,63.3,High Risk
2,0,3,0,4,2.7,89.6,64.6,High Risk
0,1,0,1,4,4.3,82.4,48.2,High Risk
2,4,4,0,4,1.3,68.2,68.0,Medium Risk
3,4,4,1,1,3.3,84.3,67.4,High Risk
0,2,0,0,1,2.4,93.1,43.4,High Risk
1,0,0,0,0,2.9,46.2,39.3,High Risk
2,1,1,0,1,1.8,90.0,59.3,High Risk
2,0,2,0,2,2.2,77.3,54.8,High Risk
2,4,4,0,3,1.4,50.7,61.0,High Risk
2,0,3,0,2,2.5,71.4,50.7,High Risk
2,6,1,0,1,2.3,82.2,86.1,Low Risk
2,5,3,0,4,4.2,73.0,96.2,Medium Risk
1,4,4,0,1,3.5,75.0,52.2,High Risk
2,0,6,1,2,1.7,56.3,13.6,High Risk
0,4,0,0,1,4.5,51.9,59.8,High Risk
3,0,2,0,2,2.4,75.1,70.7,Medium Risk
2,0,1,0,3,2.6,75.2,66.9,High Risk
2,7,1,1,4,4.7,80.1,100.0,Low Risk
1,1,4,1,1,4.0,51.1,21.7,High Risk
2,5,6,0,1,3.1,52.8,56.5,High Risk
3,6,3,0,1,1.7,71.9,86.0,Medium Risk
2,1,0,0,2,4.0,69.8,79.5,Medium Risk
2,7,1,0,1,2.7,66.3,91.1,Low Risk
3,0,3,0,2,3.4,46.1,67.3,Medium Risk
2,2,2,0,1,1.9,42.8,52.8,High Risk
2,3,1,0,2,1.3,68.4,68.1,Medium Risk
1,3,3,0,2,4.0,41.3,55.2,High Risk
2,2,3,0,2,1.3,61.7,52.1,High Risk
2,3,1,1,1,4.9,74.6,70.6,Medium Risk
1,0,5,0,2,4.0,67.0,34.0,High Risk
3,1,0,0,2,2.5,64.6,84.7,Low Risk
1,1,2,0,1,1.2,66.3,32.1,High Risk
3,6,4,1,0,2.6,40.3,61.6,High Risk
2,4,1,0,2,1.7,72.7,76.1,Low Risk
2,3,1,0,2,2.1,60.5,71.7,Medium Risk
3,5,3,0,0,2.6,59.8,79.6,Medium Risk
1,1,3,1,0,3.5,86.6,24.0,High Risk
1,2,2,0,2,4.3,45.6,57.6,High Risk
2,6,4,0,0,3.5,44.2,67.6,High Risk
3,1,2,0,1,1.8,78.3,67.5,High Risk
0,4,4,0,3,3.4,72.4,46.3,High Risk
3,4,2,0,2,2.8,49.1,89.2,Low Risk
2,0,1,0,2,3.1,50.2,61.1,High Risk
3,3,4,1,2,1.1,49.7,49.1,High Risk
3,2,0,0,4,1.5,49.3,91.4,Medium Risk
1,4,2,0,0,2.8,61.4,51.0,High Risk
2,7,0,1,2,1.6,92.4,83.5,Medium Risk
3,4,3,0,3,3.3,43.9,91.4,Low Risk
1,1,7,0,2,2.8,91.6,25.5,High Risk
2,0,1,1,1,4.8,43.3,50.3,High Risk
2,0,1,0,1,2.7,59.8,55.2,High Risk
2,1,1,1,1,1.7,81.9,42.5,High Risk
2,7,3,0,0,4.2,45.1,82.0,Medium Risk
0,3,4,0,3,4.6,41.1,43.8,High Risk
2,6,2,0,1,1.9,91.7,80.2,Low Risk
1,2,1,0,2,1.1,53.3,44.6,High Risk
1,0,0,0,2,4.8,69.4,64.2,High Risk
2,2,4,0,3,1.3,86.3,55.7,Medium Risk
2,6,3,0,2,3.9,80.0,90.4,Low Risk
3,4,0,0,2,3.8,52.1,100.0,Low Risk
2,2,1,1,2,4.1,43.7,61.2,High Risk
3,5,3,1,3,1.4,73.4,74.4,Medium Risk
3,5,2,0,2,4.9,44.5,100.0,Low Risk
3,0,1,0,2,1.5,60.2,68.0,Medium Risk
2,4,2,0,0,2.0,64.0,61.6,High Risk
1,1,0,0,3,5.0,77.4,76.6,Medium Risk
3,0,2,1,2,3.5,61.2,60.2,High Risk
2,1,0,0,4,2.8,85.9,84.7,Medium Risk
3,2,3,1,0,4.4,44.8,58.1,High Risk
3,3,3,1,4,4.5,55.9,85.4,Medium Risk
3,0,5,0,3,4.3,66.2,70.7,Medium Risk
3,0,0,0,4,2.6,56.7,89.1,Medium Risk
2,7,1,0,1,2.8,58.2,90.5,Low Risk
2,0,5,0,3,2.2,79.7,45.2,High Risk
3,0,0,0,1,1.1,83.5,69.1,Medium Risk
3,2,1,0,0,3.7,79.4,84.1,Medium Risk
2,4,0,0,0,3.1,84.4,81.3,Medium Risk
3,0,1,0,0,4.7,87.2,81.3,Medium Risk
3,0,3,0,1,2.3,55.6,57.1,High Risk
2,4,2,0,2,2.1,79.6,74.5,Low Risk
0,1,0,1,1,3.0,46.8,20.0,High Risk
1,5,4,0,0,3.6,88.0,54.8,High Risk
2,1,2,0,2,4.8,56.0,72.2,Medium Risk
2,5,0,0,1,3.6,41.2,87.8,Low Risk
2,5,0,0,1,5.0,52.8,97.9,Low Risk
2,1,1,0,2,3.7,64.7,71.9,Medium Risk
2,1,0,0,1,4.0,77.2,75.6,Medium Risk
3,1,0,0,3,4.8,45.5,100.0,Low Risk
2,0,5,1,1,2.4,43.3,15.9,High Risk
3,3,3,0,2,1.1,71.2,72.3,Medium Risk
2,2,2,0,2,3.5,71.7,71.8,Medium Risk
2,1,2,0,2,4.2,59.3,69.1,High Risk
2,0,0,0,3,3.0,64.6,72.7,Medium Risk
3,3,1,1,2,4.9,83.0,91.9,Medium Risk
3,2,5,1,0,4.6,75.4,53.9,High Risk
2,3,1,0,3,2.5,78.8,81.8,Medium Risk
2,6,2,0,4,3.7,88.7,100.0,Low Risk
2,2,3,0,1,3.5,84.8,63.7,High Risk
1,4,2,0,3,4.6,67.7,77.8,Medium Risk
1,4,0,0,1,3.9,69.5,73.8,Medium Risk
2,3,3,0,2,1.3,44.3,54.4,High Risk
2,7,4,0,0,1.3,40.9,58.9,High Risk
2,2,0,0,2,4.1,47.1,81.7,Medium Risk
1,4,3,0,2,3.5,75.3,62.3,High Risk
1,6,0,0,3,4.5,84.8,99.7,Low Risk
1,3,2,0,2,1.1,64.6,46.3,High Risk
1,3,4,0,2,4.9,71.3,60.1,High Risk
2,4,4,0,1,1.8,66.8,55.8,High Risk
2,2,5,0,0,4.2,62.7,49.6,High Risk
3,1,5,0,1,2.8,93.3,60.8,High Risk
2,1,2,0,3,1.6,54.2,57.7,High Risk
2,1,1,0,2,1.8,52.3,58.6,Medium Risk
2,5,0,0,2,4.9,82.2,100.0,Low Risk
2,2,1,1,0,2.4,91.6,48.1,High Risk
2,4,2,0,1,1.6,54.4,62.8,Low Risk
2,0,2,0,2,4.1,53.4,62.6,High Risk
2,0,4,0,2,3.2,64.4,48.9,High Risk
2,2,3,0,2,3.7,47.0,64.2,High Risk
3,3,2,0,3,4.1,47.2,96.7,Low Risk
2,1,0,0,0,4.4,89.5,74.8,Medium Risk
2,2,6,0,0,3.1,61.6,37.8,High Risk
2,0,4,0,2,1.6,67.9,39.8,High Risk
2,3,4,0,2,2.2,94.6,62.4,High Risk
2,4,2,0,2,4.4,60.5,85.5,Low Risk
2,1,4,0,2,1.6,90.9,48.2,High Risk
2,4,2,0,1,2.0,65.0,66.8,Low Risk
2,1,1,0,1,2.4,43.6,55.9,High Risk
0,5,0,1,1,4.8,40.3,49.8,High Risk
3,1,0,0,2,1.4,88.1,81.6,Medium Risk
2,3,1,0,2,4.8,69.6,89.2,Medium Risk
1,2,0,0,0,1.2,89.2,45.6,High Risk
1,4,3,1,3,4.0,71.1,54.7,High Risk
2,3,3,0,1,2.9,90.5,66.0,High Risk
3,3,3,1,1,3.1,51.1,61.3,High Risk
1,3,2,0,2,2.2,40.9,49.3,High Risk
3,5,5,0,0,3.7,81.8,79.5,Medium Risk
2,5,3,1,2,3.7,55.1,65.5,Medium Risk
0,4,6,1,1,3.5,50.6,8.6,High Risk
1,6,3,0,3,3.4,89.4,78.8,Medium Risk
2,1,4,1,4,1.5,85.2,41.8,High Risk
2,2,2,0,1,3.3,77.7,66.5,High Risk
2,1,5,0,4,2.9,91.2,61.1,High Risk
2,3,1,0,1,1.0,53.2,59.0,High Risk
2,6,1,0,1,4.7,88.8,100.0,Low Risk
1,6,4,1,2,4.8,73.5,59.8,High Risk
3,2,2,0,0,4.1,61.7,78.9,Medium Risk
2,5,3,1,1,3.4,92.5,64.3,Medium Risk
3,0,1,0,0,1.4,72.2,59.2,High Risk
0,0,5,0,2,1.2,85.3,5.0,High Risk
2,3,0,1,2,3.5,55.4,69.3,Medium Risk
1,4,4,0,1,4.5,63.2,56.5,High Risk
2,4,6,0,4,4.0,80.5,76.1,Medium Risk
2,4,1,0,1,1.1,84.5,69.3,Low Risk
2,2,6,0,0,2.6,65.5,35.4,High Risk
2,6,2,0,3,3.5,52.4,93.9,Low Risk
3,7,4,0,2,3.5,93.9,100.0,Low Risk
2,1,3,0,3,3.6,59.0,65.5,Medium Risk
2,4,2,0,1,3.3,74.8,76.0,Low Risk
3,0,2,0,0,2.4,87.7,62.6,High Risk
3,0,4,0,1,4.3,47.7,63.0,High Risk
3,2,4,1,3,4.6,40.4,68.7,Medium Risk
2,0,2,0,3,2.6,47.8,57.8,High Risk
3,2,4,1,1,2.0,43.2,43.5,High Risk
2,5,4,0,0,3.7,76.2,68.6,High Risk
2,1,2,0,2,3.3,75.5,66.1,High Risk
0,1,0,0,0,4.5,92.7,45.9,High Risk
2,0,2,0,3,3.6,45.7,63.5,Medium Risk
3,2,1,0,0,3.1,80.6,80.7,Medium Risk
1,1,2,0,4,4.6,72.8,68.5,High Risk
2,3,5,0,3,4.5,43.0,68.5,Medium Risk
2,1,2,0,2,3.3,63.8,64.4,Medium Risk
2,0,4,1,1,4.8,51.8,36.6,High Risk
1,0,1,0,0,2.2,48.5,30.5,High Risk
3,4,1,0,3,2.5,51.5,97.7,Low Risk
1,6,1,0,4,3.1,40.8,84.7,Medium Risk
2,0,1,0,0,1.7,60.8,44.3,High Risk
1,3,4,0,2,1.5,64.2,38.6,High Risk
3,2,2,1,3,1.6,42.2,60.9,Medium Risk
3,4,2,0,2,3.1,40.8,89.7,Low Risk
3,0,1,0,2,4.3,80.5,87.9,Medium Risk
2,3,1,0,1,1.6,58.5,63.4,High Risk
3,4,3,0,3,2.3,60.4,87.9,Low Risk
2,1,1,0,0,1.7,85.8,53.1,High Risk
1,3,1,0,2,4.8,57.1,72.4,Medium Risk
2,1,1,0,1,4.8,84.8,76.5,Medium Risk
2,7,3,0,0,1.3,91.9,71.6,Medium Risk
3,4,2,1,1,1.1,94.5,65.8,High Risk
3,0,1,0,1,2.7,59.9,70.2,Medium Risk
2,7,5,0,0,3.4,54.9,68.6,High Risk
3,0,3,1,1,3.0,51.8,45.8,High Risk
1,1,1,0,1,3.7,63.8,51.8,High Risk
2,1,1,0,0,5.0,49.7,67.5,High Risk
1,5,5,0,3,3.4,50.7,58.0,High Risk
1,3,1,0,2,1.6,80.1,56.6,High Risk
1,2,0,0,0,2.7,58.8,50.0,High Risk
1,2,6,0,2,3.8,53.2,35.8,High Risk
1,3,0,0,0,1.0,47.9,43.2,High Risk
3,4,3,0,1,4.7,70.0,93.7,Low Risk
2,2,3,1,2,4.4,81.4,58.6,High Risk
3,2,3,1,0,1.5,80.1,46.0,High Risk
3,4,1,0,3,1.8,89.7,99.3,Low Risk
3,3,2,0,1,1.9,73.9,77.5,Medium Risk
2,2,2,1,3,2.6,62.2,54.9,High Risk
3,4,2,1,0,3.6,54.2,69.7,High Risk
0,0,1,0,0,2.7,93.3,25.2,High Risk
3,4,2,0,3,2.7,87.7,99.4,Low Risk
3,1,1,1,0,2.2,61.6,52.4,High Risk
3,3,1,1,1,1.6,79.8,66.6,Medium Risk
2,0,3,0,3,2.7,63.7,55.8,High Risk
3,4,2,0,2,1.9,74.1,87.5,Low Risk
2,1,5,0,4,4.5,56.7,65.5,High Risk
1,5,7,1,1,2.5,42.9,16.4,High Risk
2,7,1,1,4,3.2,86.5,97.2,Low Risk
3,2,2,0,1,4.0,81.6,86.2,Medium Risk
2,2,4,1,2,3.4,50.9,43.0,High Risk
2,3,2,0,2,4.6,86.8,85.6,Medium Risk
3,2,2,1,2,1.8,63.9,60.4,High Risk
2,5,4,1,1,3.0,45.9,49.9,High Risk
2,3,2,0,1,2.4,57.3,63.0,High Risk
2,1,3,0,1,2.7,73.5,52.2,High Risk
2,4,0,0,0,2.1,94.1,76.7,Medium Risk
2,1,5,0,0,1.0,92.0,29.8,High Risk
3,6,4,0,0,4.2,72.1,91.0,Medium Risk
1,4,4,0,1,1.8,44.8,37.5,High Risk
3,2,3,0,1,1.2,60.6,61.3,High Risk
2,6,2,0,2,2.9,76.3,88.8,Low Risk
0,4,3,0,4,4.0,41.9,55.3,High Risk
2,3,0,0,1,4.3,92.3,89.6,Medium Risk
2,5,3,1,2,3.0,87.5,66.1,Medium Risk
2,0,1,0,1,2.3,49.5,51.2,High Risk
1,5,2,0,0,2.3,76.5,55.3,High Risk
2,1,1,0,1,2.9,72.1,63.2,High Risk
2,1,1,0,2,1.4,72.8,59.3,High Risk
2,0,1,0,3,1.3,64.7,57.5,High Risk
1,2,2,0,0,4.9,65.5,54.2,High Risk
0,2,3,0,0,1.7,86.8,18.2,High Risk
3,0,0,1,2,3.5,62.0,70.3,Medium Risk
2,4,2,0,2,1.9,62.1,70.7,Low Risk
0,5,2,0,1,3.8,93.8,56.9,High Risk
3,6,1,0,1,3.5,65.7,100.0,Low Risk
2,0,1,0,1,2.3,47.7,51.0,High Risk
2,4,5,0,0,1.7,61.0,44.4,High Risk
2,5,3,0,2,1.7,86.5,73.2,Medium Risk
1,0,3,0,1,4.2,62.2,39.5,High Risk
2,7,1,1,0,4.5,62.6,81.4,Medium Risk
2,4,2,0,1,4.5,71.4,82.7,Low Risk
3,0,1,0,0,3.7,92.7,76.1,Medium Risk
2,5,1,0,2,3.6,88.1,94.8,Low Risk
2,1,1,0,1,4.6,76.3,74.0,Medium Risk
1,2,4,0,2,2.1,64.6,37.3,High Risk
2,3,4,0,0,3.1,43.7,50.2,High Risk
3,3,0,0,3,1.8,43.6,92.3,Low Risk
2,0,3,1,0,4.4,52.7,34.3,High Risk
1,4,3,0,4,4.7,88.8,81.5,Medium Risk
2,1,3,0,0,3.6,71.9,52.4,High Risk
2,7,2,1,2,3.3,74.1,80.9,Medium Risk
1,4,2,0,0,2.5,61.9,49.3,High Risk
1,2,5,0,0,3.1,64.9,28.3,High Risk
3,4,0,0,1,2.4,61.0,93.6,Low Risk
2,2,3,0,1,3.3,55.5,58.1,High Risk
2,2,2,0,1,4.3,62.9,70.2,Medium Risk
2,0,1,0,2,1.4,52.8,51.3,High Risk
2,1,3,0,2,2.6,94.8,59.8,High Risk
3,0,0,0,1,5.0,85.4,92.8,Medium Risk
2,0,1,0,1,3.2,89.1,62.6,High Risk
1,2,5,0,0,2.5,67.9,25.2,High Risk
2,4,2,1,2,2.0,90.3,60.5,Medium Risk
3,4,4,0,0,3.7,57.6,75.8,Medium Risk
1,0,0,0,3,3.9,71.9,64.2,High Risk
1,3,4,0,0,3.4,79.5,42.3,High Risk
1,5,0,0,2,1.6,60.7,68.7,Medium Risk
0,0,0,0,1,4.3,59.9,39.8,High Risk
3,4,1,0,3,5.0,73.0,100.0,Low Risk
1,4,2,0,2,3.6,84.9,69.3,High Risk
2,0,5,1,2,3.7,80.7,34.3,High Risk
3,4,2,0,1,1.2,56.3,75.6,Low Risk
1,0,2,1,3,3.8,42.6,34.2,High Risk
2,6,1,0,1,1.1,88.1,79.8,Low Risk
2,4,2,0,1,3.8,72.5,78.7,Low Risk
2,3,5,0,3,3.4,88.7,68.7,Medium Risk
2,2,3,1,0,1.1,52.3,24.4,High Risk
3,6,5,0,1,3.6,79.7,88.6,Medium Risk
2,2,0,0,1,3.6,73.8,77.7,Medium Risk
1,5,1,0,1,4.2,69.6,75.6,Medium Risk
2,5,7,0,2,3.3,79.6,61.7,High Risk
3,7,2,1,2,2.0,89.8,90.5,Low Risk
1,0,3,0,2,1.4,42.1,24.7,High Risk
1,7,0,0,1,2.6,71.3,81.3,Medium Risk
1,7,5,0,0,3.3,55.4,53.1,High Risk
3,4,3,0,1,3.9,49.1,85.8,Medium Risk
2,2,2,0,3,4.0,64.8,78.7,Medium Risk
3,0,4,0,2,2.5,89.5,63.4,High Risk
2,3,1,0,2,4.3,41.9,82.1,Medium Risk
1,4,0,0,0,3.0,56.9,61.5,High Risk
2,1,3,0,0,4.6,51.3,55.3,High Risk
2,0,1,1,0,1.6,63.7,29.2,High Risk
3,7,6,0,1,4.6,79.1,94.5,Low Risk
2,5,5,0,1,4.1,60.2,68.6,High Risk
3,0,1,0,1,3.8,60.2,76.8,Medium Risk
1,3,1,0,1,3.2,79.0,61.1,High Risk
2,7,5,0,0,4.7,67.9,78.4,Medium Risk
2,0,0,0,2,3.1,70.4,69.2,Medium Risk
2,6,2,0,1,4.8,76.3,95.2,Low Risk
1,6,0,0,1,3.6,91.8,85.4,Medium Risk
2,2,1,1,1,4.1,70.5,60.2,High Risk
2,3,2,1,0,3.1,42.9,45.0,High Risk
2,1,1,0,0,3.3,72.2,60.6,High Risk
2,3,0,0,1,3.9,59.6,82.3,Medium Risk
2,1,3,0,2,3.6,54.1,59.7,High Risk
1,3,0,1,4,4.0,47.7,66.2,Medium Risk
2,1,2,0,1,3.9,62.9,62.8,High Risk
1,0,0,0,1,4.0,93.8,58.1,High Risk
3,0,2,0,1,2.0,81.3,64.2,Medium Risk
3,3,3,1,3,3.4,79.3,77.3,Medium Risk
2,7,1,0,2,1.7,91.0,93.9,Low Risk
2,0,4,1,2,4.3,40.3,36.8,High Risk
2,4,4,0,2,1.3,72.7,58.7,High Risk
1,4,0,1,1,2.2,86.3,51.1,High Risk
1,6,1,0,1,4.0,83.8,81.6,Medium Risk
2,3,1,0,2,3.2,86.2,82.1,Medium Risk
2,7,2,0,2,4.7,46.2,100.0,Low Risk
2,0,3,0,1,2.0,40.0,38.0,High Risk
2,0,5,1,1,3.8,55.8,26.2,High Risk
2,2,2,0,1,1.5,54.1,52.1,High Risk
1,0,5,1,0,1.6,64.3,0.0,High Risk
3,7,1,0,3,4.2,57.1,100.0,Low Risk
1,0,2,0,2,1.8,75.8,37.2,High Risk
2,1,0,0,1,1.1,94.7,60.8,High Risk
2,2,0,0,0,4.5,80.0,79.0,Medium Risk
3,4,1,1,3,1.1,56.6,75.1,Low Risk
2,0,2,0,3,1.8,71.4,56.5,High Risk
3,4,1,0,1,4.0,69.3,99.4,Low Risk
3,3,5,0,2,1.5,48.2,61.2,Medium Risk
2,5,5,0,2,3.9,72.5,74.3,Medium Risk
2,0,3,0,4,4.0,46.1,65.9,High Risk
2,0,4,1,1,1.9,53.6,19.4,High Risk
3,0,3,0,0,1.7,57.6,48.8,High Risk
1,4,4,0,0,3.4,40.1,41.4,High Risk
2,2,1,0,0,2.6,58.8,59.4,High Risk
2,1,4,0,2,2.7,69.6,51.6,High Risk
1,2,0,0,4,3.4,55.0,73.7,Medium Risk
1,0,2,0,0,2.9,60.3,31.4,High Risk
2,0,1,0,4,2.4,65.4,69.2,High Risk
2,3,6,0,1,3.0,94.9,52.2,High Risk
3,3,3,0,2,2.5,93.5,84.0,Medium Risk
2,2,2,1,0,2.5,93.9,44.1,High Risk
2,2,3,0,3,1.3,43.5,54.3,High Risk
3,1,1,0,1,3.8,71.0,83.5,Medium Risk
2,6,1,1,3,4.1,80.2,91.6,Low Risk
2,1,3,0,2,1.9,93.1,55.4,High Risk
3,7,1,0,0,1.8,93.5,99.8,Low Risk
2,7,0,0,0,4.0,76.7,100.0,Low Risk
2,4,3,0,4,4.9,80.4,96.5,Low Risk
2,5,2,1,1,3.8,40.6,63.9,High Risk
2,6,4,0,2,2.8,40.9,72.9,Medium Risk
0,5,5,1,2,4.3,56.3,29.2,High Risk
2,3,3,0,4,5.0,71.5,90.7,Medium Risk
1,3,0,0,3,2.0,92.6,70.9,Medium Risk
1,0,4,0,1,2.5,67.1,25.1,High Risk
2,1,0,0,4,4.9,93.8,98.5,Medium Risk
1,7,4,0,3,2.1,94.3,71.7,Medium Risk
2,4,4,0,1,4.7,81.3,75.4,Medium Risk
2,2,1,1,0,3.7,82.2,54.5,High Risk
2,2,0,0,1,1.1,61.2,60.8,Medium Risk
2,2,4,1,1,3.8,62.4,42.2,High Risk
2,2,2,0,0,4.3,57.7,64.5,High Risk
2,5,2,1,1,2.5,73.3,61.0,High Risk
2,0,1,0,2,4.3,76.0,72.2,Medium Risk
3,0,5,0,4,1.7,42.5,56.6,High Risk
0,3,7,1,2,3.6,92.6,10.5,High Risk
2,4,0,0,3,4.0,63.8,98.6,Low Risk
1,7,0,0,3,3.9,56.1,96.8,Low Risk
2,2,5,0,1,1.9,58.1,40.1,High Risk
2,6,3,0,3,1.3,51.0,75.5,Low Risk
2,0,1,0,2,2.3,83.0,61.2,High Risk
2,7,1,1,0,2.7,84.5,73.9,Medium Risk
2,2,4,0,1,4.9,66.1,64.3,High Risk
2,0,5,0,1,2.7,48.8,33.5,High Risk
2,4,3,0,1,3.3,86.2,72.7,Medium Risk
3,7,5,0,2,1.7,80.3,87.2,Low Risk
2,3,4,0,1,3.7,74.5,63.4,High Risk
2,6,1,1,3,2.9,47.7,79.6,Low Risk
2,2,4,0,2,2.2,67.3,53.3,High Risk
3,0,6,0,0,3.6,50.3,44.1,High Risk
2,6,2,0,0,5.0,75.6,91.3,Medium Risk
0,0,3,0,1,1.6,86.8,12.6,High Risk
2,0,0,0,2,2.5,78.9,66.8,High Risk
2,1,3,0,2,2.2,81.2,55.4,High Risk
3,3,2,0,0,1.3,66.4,67.8,High Risk
2,5,3,0,0,4.3,94.0,79.9,Medium Risk
3,2,1,0,1,4.9,58.3,93.1,Medium Risk
2,0,1,0,2,1.3,44.5,49.5,High Risk
2,7,2,0,2,2.3,89.4,92.2,Low Risk
3,2,2,0,2,4.7,77.4,94.8,Low Risk
1,1,0,0,4,1.3,43.0,54.2,High Risk
1,3,3,0,2,2.8,63.0,51.2,High Risk
3,2,2,0,1,3.2,64.2,78.8,Medium Risk
3,0,4,1,1,4.4,51.5,49.1,High Risk
3,4,5,0,0,4.2,86.1,78.1,Medium Risk
1,0,3,0,3,2.1,92.2,41.4,High Risk
2,1,3,0,2,2.3,90.9,57.4,High Risk
3,2,2,0,3,1.4,87.7,81.6,Low Risk
2,5,3,0,1,3.0,83.5,75.5,Medium Risk
2,4,2,0,3,1.7,61.3,74.4,Low Risk
3,5,3,1,0,4.9,48.7,76.7,Medium Risk
1,2,0,1,4,2.2,58.6,52.0,High Risk
2,0,3,0,0,2.5,86.8,43.0,High Risk
